feature,ref,other,coef,p
f0_max,in-hold,com-hold,0.06484395502456501,0.6222861928960061
f0_max,in-hold,change,0.12110027889511689,0.6018499268872074
f0_max,com-hold,in-hold,-0.0648439286248948,0.6222862910193859
f0_max,com-hold,change,0.056256346417880895,0.7996805574429013
f0_max,change,in-hold,-0.12110027169422521,0.6018498849673302
f0_max,change,com-hold,-0.05625636601607345,0.7996804743040469
f0_min,in-hold,com-hold,-0.10325104782731231,0.38534407136873505
f0_min,in-hold,change,0.049242709907252116,0.8143973891643969
f0_min,com-hold,in-hold,0.1032510486022551,0.3853440672070265
f0_min,com-hold,change,0.15249376067323453,0.44659646510026785
f0_min,change,in-hold,-0.049242708654557064,0.814397393903673
f0_min,change,com-hold,-0.15249375603321394,0.4465964795984936
f0_med,in-hold,com-hold,-0.06995941599439699,0.5244198724295371
f0_med,in-hold,change,-0.05896634967392947,0.7609782947487993
f0_med,com-hold,in-hold,0.06995941697471719,0.5244198655724677
f0_med,com-hold,change,0.010993068694922946,0.9526555662816653
f0_med,change,in-hold,0.05896634858383335,0.7609782986605305
f0_med,change,com-hold,-0.01099306817709108,0.9526555685294226
f0_range,in-hold,com-hold,0.16468069029550478,0.1658591119517976
f0_range,in-hold,change,0.08157712170966475,0.6964456515670195
f0_range,com-hold,in-hold,-0.16468068811156447,0.16585911806508924
f0_range,com-hold,change,-0.08310355342212772,0.6772964492327722
f0_range,change,in-hold,-0.08157712546890337,0.6964456382520698
f0_range,change,com-hold,0.08310356419408188,0.6772964098939582
f0_slope,in-hold,com-hold,-1.851948255283543,0.6430732346961242
f0_slope,in-hold,change,1.6439036600748844,0.811983433089128
f0_slope,com-hold,in-hold,1.8519482552835407,0.6430771944957857
f0_slope,com-hold,change,3.495851915358429,0.5946104597755189
f0_slope,change,in-hold,-1.6439036600748897,0.8120207085839437
f0_slope,change,com-hold,-3.495851915358433,0.5948968924761654
i_max,in-hold,com-hold,-0.004556140034314455,0.934068973061731
i_max,in-hold,change,-0.4646569718205477,1.4092697308746791e-06
i_max,com-hold,in-hold,0.004556133911112077,0.9340690615779013
i_max,com-hold,change,-0.46010085370989057,5.613650156348105e-07
i_max,change,in-hold,0.4646574097680738,1.4092312758223913e-06
i_max,change,com-hold,0.4601014394537789,5.613431531231577e-07
i_med,in-hold,com-hold,-0.03136767772198175,0.07931617376078781
i_med,in-hold,change,-0.2121193459266429,1.3329922020628811e-11
i_med,com-hold,in-hold,0.03136765795566693,0.07931643673304749
i_med,com-hold,change,-0.18075114887792862,1.5177210550641897e-09
i_med,change,in-hold,0.2121204631266256,1.3327279428536375e-11
i_med,change,com-hold,0.18075274445571957,1.5173312465386406e-09
i_std,in-hold,com-hold,-0.0013943126584191443,0.9247184850951179
i_std,in-hold,change,-0.15241925168890322,4.064964821083627e-09
i_std,com-hold,in-hold,0.001394312659579835,0.9247184850324008
i_std,com-hold,change,-0.15102493902552516,1.0397057865951155e-09
i_std,change,in-hold,0.15241925021403124,4.064966377593339e-09
i_std,change,com-hold,0.15102493710506648,1.0397063497627648e-09
i_tmax,in-hold,com-hold,0.005020973526370504,0.4912849089851228
i_tmax,in-hold,change,0.024456654676001794,0.05494809752533929
i_tmax,com-hold,in-hold,-0.005020973186232653,0.4912849380712674
i_tmax,com-hold,change,0.019435682800876063,0.10990678486259188
i_tmax,change,in-hold,-0.0244566619202358,0.05494803180072356
i_tmax,change,com-hold,-0.01943569027322002,0.10990665732754361
art_rate,in-hold,com-hold,0.05272223609188967,0.33110147592887496
art_rate,in-hold,change,1.6249626857225574,2.055345144593316e-65
art_rate,com-hold,in-hold,-0.05272223626191371,0.33110147398591394
art_rate,com-hold,change,1.572240447856111,3.286293293101218e-67
art_rate,change,in-hold,-1.6249626537231836,2.0553687935352055e-65
art_rate,change,com-hold,-1.5722404142405224,3.286338412294958e-67
f0_reset,in-hold,com-hold,0.12480454378251297,0.14756113224048628
f0_reset,in-hold,change,0.19237719665291492,0.20304614869387305
f0_reset,com-hold,in-hold,-0.12480520837711387,0.14755929507405147
f0_reset,com-hold,change,0.0675672183159256,0.63940912805845
f0_reset,change,in-hold,-0.19237239208283843,0.20305690867126902
f0_reset,change,com-hold,-0.06756717888338723,0.6394093199176341
contour_curv_600,in-hold,com-hold,-14.185382337373396,0.16594715279932037
contour_curv_600,in-hold,change,-11.101450767989983,0.5311067956054483
contour_curv_600,com-hold,in-hold,14.185382337373385,0.16483610897223677
contour_curv_600,com-hold,change,3.0839315693834206,0.8544991104650272
contour_curv_600,change,in-hold,11.10145076799001,0.5302363708523296
contour_curv_600,change,com-hold,-3.083931569383388,0.8544730015240064
i_slope,in-hold,com-hold,0.09481731825134893,0.23731933411641426
i_slope,in-hold,change,0.31323204611008826,0.026133712101648332
i_slope,com-hold,in-hold,-0.09481732011038341,0.23731932426798164
i_slope,com-hold,change,0.2184147292170749,0.1040904808514696
i_slope,change,in-hold,-0.3132320617240153,0.026133705516304322
i_slope,change,com-hold,-0.21841473445075865,0.1040904747904325
voiced_frac,in-hold,com-hold,-0.002227438991985906,0.761401994762564
voiced_frac,in-hold,change,-0.10617951477961012,2.2824634508302724e-16
voiced_frac,com-hold,in-hold,0.002227438991473029,0.7614019948283463
voiced_frac,com-hold,change,-0.10395207577038813,4.047630776538689e-17
voiced_frac,change,in-hold,0.10617951658789065,2.282460154809057e-16
voiced_frac,change,com-hold,0.10395207754363427,4.047624706897861e-17
